Switch#show mac address-table 
        Mac Address Table (Total 498)
------------------------------------------

Vlan    Mac Address       Type       Ports
700     f009.0d91.91a4    DYNAMIC    gpon0/5:35-1
700     a86e.84db.5e1c    DYNAMIC    gpon0/8:48-1
700     a4be.2b43.bef0    DYNAMIC    gpon0/9:6-1
700     e000.8472.9aa1    DYNAMIC    gpon0/6:24-1
700     a008.6f82.ddf8    DYNAMIC    gpon0/12:27-1
700     1409.dc71.da08    DYNAMIC    gpon0/9:44-1
700     e472.e226.0721    DYNAMIC    gpon0/1:97-1
700     0433.897a.4625    DYNAMIC    gpon0/9:48-1
700     a8f5.a2ba.1e05    DYNAMIC    gpon0/12:41-1
700     1457.9f9c.084d    DYNAMIC    gpon0/3:4-1
700     70c7.f337.c716    DYNAMIC    gpon0/9:14-1
700     7cc3.85ad.bfcd    DYNAMIC    gpon0/2:37-1
700     e0cc.7aec.7340    DYNAMIC    gpon0/4:46-1
700     44a3.c726.9764    DYNAMIC    gpon0/5:9-1
700     c0ff.a8a0.02f5    DYNAMIC    gpon0/6:47-1
700     b04e.2697.8fdd    DYNAMIC    gpon0/3:46-1
700     3458.4092.aacf    DYNAMIC    gpon0/6:30-1
700     44a3.c725.c8c4    DYNAMIC    gpon0/6:58-1
700     1457.9f1e.54d2    DYNAMIC    gpon0/9:49-1
700     80b5.7505.5503    DYNAMIC    gpon0/6:13-1
700     c81f.bc6d.f592    DYNAMIC    gpon0/2:21-1
700     cc64.a627.5e7b    DYNAMIC    gpon0/6:52-1
700     788c.b556.4867    DYNAMIC    gpon0/1:83-1
700     dc99.142f.c1b8    DYNAMIC    gpon0/6:5-1
700     c0ff.a89e.9dea    DYNAMIC    gpon0/6:35-1
700     788c.b556.5787    DYNAMIC    gpon0/5:47-1
700     2841.c77c.748c    DYNAMIC    gpon0/5:18-1
700     44a3.c726.97b8    DYNAMIC    gpon0/1:100-1
700     a0a3.3b74.2e74    DYNAMIC    gpon0/9:54-1
700     a008.6f52.c140    DYNAMIC    gpon0/4:26-1
700     0c84.0814.e813    DYNAMIC    gpon0/2:70-1
700     a8d4.e0be.af8d    DYNAMIC    gpon0/2:63-1
700     18de.d7a8.c2b3    DYNAMIC    gpon0/3:12-1
700     788c.b556.5706    DYNAMIC    gpon0/8:31-1
700     788c.b556.88ff    DYNAMIC    gpon0/8:35-1
700     8866.395a.cdf0    DYNAMIC    gpon0/1:89-1
700     20ab.4822.1ace    DYNAMIC    gpon0/12:29-1
700     68cc.6e1d.b613    DYNAMIC    gpon0/9:10-1
700     9c71.3aff.5542    DYNAMIC    gpon0/5:58-1
700     ac15.a267.01c7    DYNAMIC    gpon0/8:32-1
700     c88d.84d1.8da2    DYNAMIC    gpon0/8:13-1
700     e472.e242.66d4    DYNAMIC    gpon0/4:19-1
700     10c1.7250.45d2    DYNAMIC    gpon0/5:66-1
700     ac15.a236.fa8f    DYNAMIC    gpon0/2:64-1
700     8041.26e1.4b95    DYNAMIC    gpon0/6:44-1
700     0433.8986.c1e9    DYNAMIC    gpon0/12:17-1
700     e43e.c603.1fd2    DYNAMIC    gpon0/5:71-1
700     e43e.c603.1fd0    DYNAMIC    gpon0/5:71-1
700     c81f.bc71.8f9f    DYNAMIC    gpon0/4:24-1
700     ac15.a2b7.3996    DYNAMIC    gpon0/2:43-1
700     5c54.6dd8.1fce    DYNAMIC    gpon0/9:5-1
700     44a3.c725.d29c    DYNAMIC    gpon0/2:69-1
700     44a3.c725.cd32    DYNAMIC    gpon0/4:54-1
700     e0cc.7aeb.16e4    DYNAMIC    gpon0/9:19-1
700     44a3.c725.d2c6    DYNAMIC    gpon0/5:28-1
700     60de.f3ab.802e    DYNAMIC    gpon0/9:40-1
700     30de.4b2b.0ce7    DYNAMIC    gpon0/3:56-1
700     44a3.c72c.f2ce    DYNAMIC    gpon0/4:49-1
700     28a6.dbda.e8bd    DYNAMIC    gpon0/5:27-1
700     b443.2640.381f    DYNAMIC    gpon0/9:18-1
700     44a3.c725.ed18    DYNAMIC    gpon0/4:52-1
700     602e.20aa.4673    DYNAMIC    gpon0/8:14-1
700     c0ff.a89f.98ac    DYNAMIC    gpon0/3:17-1
700     44a3.c726.5252    DYNAMIC    gpon0/5:1-1
700     44a3.c725.d272    DYNAMIC    gpon0/6:55-1
700     6083.e7fd.422b    DYNAMIC    gpon0/5:25-1
700     5c09.79a5.8284    DYNAMIC    gpon0/6:48-1
700     788c.b556.6d07    DYNAMIC    gpon0/4:38-1
700     a08c.f63e.99af    DYNAMIC    gpon0/1:52-1
700     44a3.c725.d266    DYNAMIC    gpon0/1:96-1
700     a86e.84db.7a04    DYNAMIC    gpon0/4:34-1
700     70c7.f32d.e226    DYNAMIC    gpon0/3:18-1
700     2023.5101.3cfc    DYNAMIC    gpon0/4:41-1
700     e43e.c603.2093    DYNAMIC    gpon0/4:39-1
700     8cfd.18d1.36a3    DYNAMIC    gpon0/3:6-1
700     80b5.7528.50e5    DYNAMIC    gpon0/9:12-1
700     44a3.c725.cdfe    DYNAMIC    gpon0/2:42-1
700     bc3f.8f1d.290b    DYNAMIC    gpon0/1:51-1
700     0c84.0815.7244    DYNAMIC    gpon0/6:46-1
700     f479.60f7.72aa    DYNAMIC    gpon0/2:18-1
700     40ae.30c5.ac1c    DYNAMIC    gpon0/5:49-1
