PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/0,3,HWTC87E7B0B4,cialtamirano,EG8021V5,BRIDGE
0/1/0,4,HWTC2151C5AB,djaguero,HG8245H5,ROUTER
0/1/0,5,HWTC829EFF92,psulgay,IC410WSG,ROUTER
0/1/0,6,HWTCA5199A9B,edroveres,EG8141A5,ROUTER
0/1/0,7,HWTC82ADB692,mdcoronel,IC410WSG,ROUTER
0/1/0,8,HWTC180D4BA6,cdviglesias,EG8141A5,ROUTER
0/1/0,9,HWTC180822A6,edfernandez,EG8141A5,ROUTER
0/1/0,10,HWTCAF7212B1,ldarguello,EG8021V5,BRIDGE
0/1/0,11,HWTC4F8B3C9B,ccortez,EG8141A5,ROUTER
0/1/0,13,HWTC82FF5992,dgaray,IC410WSG,ROUTER
0/1/0,14,HWTC87E8EAB4,lcochoa,EG8021V5,BRIDGE
0/1/0,15,HWTC04DE5992,eolguin,HG8546M,ROUTER
0/1/0,16,HWTC82825992,ptello,IC410WSG,ROUTER
0/1/0,17,ZTEGD6D13FAB,cbeltramone,F670LV9.0,ROUTER
0/1/0,18,HWTC26BF4B1E,jcarranza,IC405WSG,ROUTER
0/1/0,19,HWTCE241639D,lmdiaz,EG8141A5,ROUTER
0/1/0,20,HWTC26957B1E,egbringas,IC405WSG,ROUTER
0/1/0,21,HWTC180D47A6,gligorria,EG8141A5,ROUTER
0/1/0,22,HWTC38104E9D,rmfernandez,EG8141A5,ROUTER
0/1/0,23,TPLGB5565FD8,magonzalez1,XN020-G3,ROUTER
0/1/0,24,HWTC1797DF9B,gelopez,IC405WSG,ROUTER
0/1/0,25,TPLGB55656F8,pdbarroso1,XN020-G3,ROUTER
0/1/0,26,TPLGB5568258,rbnunez2,XN020-G3,ROUTER
0/1/0,27,TPLG30C5C208,dmbordon,XC220-G3,ROUTER
0/1/0,28,HWTC05939592,cfernandez,HG8546M,ROUTER
0/1/0,29,TPLGB5568858,rvfarias,XN020-G3,ROUTER
0/1/0,30,HWTC268DEB1E,mgonzalez3,IC405WSG,ROUTER
0/1/0,31,ZTEGD6D13E93,mgaray5,F670LV9.0,ROUTER
0/1/0,32,HWTCB3B67D9A,lmmerino,EG8141A5,ROUTER
0/1/0,33,HWTC26B7751E,cbarrozo,IC405WSG,ROUTER
0/1/0,34,HWTC196A459B,maortiz,EG8141A5,ROUTER
0/1/0,35,HWTC26BF001E,gpgauna,IC405WSG,ROUTER
0/1/0,36,HWTC966510B1,jdtorres,EG8021V5,BRIDGE
0/1/0,37,HWTCA56C949B,dbenitez3,EG8141A5,ROUTER
0/1/0,38,TPLGA28D5BC0,wbincovich2,XN020-G3,ROUTER
0/1/0,39,HWTCA52F4B9B,fncarrizo,EG8141A5,ROUTER
0/1/0,40,HWTCB332429A,ltruszkowski,EG8141A5,ROUTER
0/1/0,41,HWTC9173B2A6,emolguin,EG8141A5,ROUTER
0/1/0,42,ZTEGD6D13EA2,rbustos,F670LV9.0,ROUTER
0/1/0,43,HWTC26782A1E,scortez1,IC405WSG,ROUTER
0/1/0,44,ZTEGD6D1E3EC,agmoreno,F670LV9.0,ROUTER
0/1/0,45,HWTC04A0281E,cialtamirano2,IC455WDB,ROUTER
0/1/0,46,HWTC2648B81E,acluna,IC405WSG,ROUTER
0/1/0,47,TPLGB5567D20,jagarcia,XN020-G3,ROUTER
0/1/0,48,HWTC4FB76C9B,tvalaniz,EG8141A5,ROUTER
0/1/0,49,HWTCA370789C,altdesalvo,EG8141A5,ROUTER
0/1/0,50,HWTC820B0D92,lolguin,IC410WSG,ROUTER
0/1/0,51,HWTC2616721E,nsalinas,IC405WSG,ROUTER
0/1/0,52,TPLGB55664B0,aelopez,XN020-G3,ROUTER
0/1/0,53,HWTC18663A9A,cseva,EG8141A5,ROUTER
0/1/0,54,TPLGB5566450,mvieira,XN020-G3,ROUTER
0/1/0,55,HWTC26450A1E,pbenites,IC405WSG,ROUTER
0/1/0,57,ZTEGD6D13C87,ijtello,F670LV9.0,ROUTER
0/1/1,1,HWTCC9AA009D,jopereyra,EG8141A5,ROUTER
0/1/1,2,HWTC8A1003A6,eoyola4,EG8141A5,ROUTER
0/1/1,3,TPLG8BDDDDB7,mlortiz2,TX-6610,BRIDGE
0/1/1,5,HWTC2661D51E,jasuarez,IC405WSG,ROUTER
0/1/1,6,HWTC2602691E,avligorria,IC405WSG,ROUTER
0/1/1,8,ZTEGD6D13EF4,scgodoy1,F670LV9.0,ROUTER
0/1/1,9,HWTC17632F9B,mfgarcia,IC405WSG,ROUTER
0/1/1,10,HWTC3407CBA6,molguin,EG8141A5,ROUTER
