PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/1,9,HWTC82CC4192,vppereyra,IC410WSG,ROUTER
0/1/1,10,HWTC2060299D,mflores2,EG8141A5,ROUTER
0/1/1,11,HWTC26C7D41E,jalderete,IC405WSG,ROUTER
0/1/1,12,HWTC265F591E,nrquinteros,IC405WSG,ROUTER
0/1/1,13,HWTC06562AA6,svega,EG8141A5,ROUTER
0/1/1,18,HWTC82C21F92,mirodriguez,IC410WSG,ROUTER
0/1/1,19,HWTC828BEA92,vvperez,IC410WSG,ROUTER
0/1/1,20,HWTC8A101AA6,loliva,EG8141A5,ROUTER
0/1/1,21,HWTC1932669B,mpelliza,EG8141A5,ROUTER
0/1/1,22,HWTCA3691F9C,mabenites,EG8141A5,ROUTER
0/1/1,24,HWTC20B4099D,fortega,EG8141A5,ROUTER
0/1/1,25,HWTC26A3FF1E,npespindola,IC405WSG,ROUTER
0/1/1,26,HWTCB36DF79A,rdheredia,EG8141A5,ROUTER
0/1/1,27,HWTCA571229B,hrpaez,EG8141A5,ROUTER
0/1/1,30,HWTCB8B27E9D,crodriguez,EG8141A5,ROUTER
0/1/1,31,HWTC26BF601E,ychavez,IC405WSG,ROUTER
0/1/1,32,HWTC82A30892,crzarate,IC410WSG,ROUTER
0/1/1,33,HWTC82FC7592,mfalaniz,IC410WSG,ROUTER
0/1/1,34,HWTCB33E849A,mralaniz,EG8141A5,ROUTER
0/1/1,35,HWTC4F83F99B,wsimes,EG8141A5,ROUTER
0/1/1,36,HWTC064372A6,japonce,EG8141A5,ROUTER
0/1/1,37,HWTC82B62792,lamoran,IC410WSG,ROUTER
0/1/1,38,TPLG30C5CA40,mgmperez,XC220-G3,ROUTER
0/1/1,40,HWTCEF84389D,emoviedo3,HS8545M5,ROUTER
0/1/1,41,HWTC17694F9B,wbincovich,IC405WSG,ROUTER
0/1/1,42,ZTEGD6D13DE7,aebringas,F670LV9.0,ROUTER
0/1/1,43,TPLGA2B73990,iaaltamirano,XN020-G3,ROUTER
0/1/1,44,TPLGB55681D0,sligorria2,XN020-G3,ROUTER
0/1/1,46,TPLGB55686E8,cbcarrera,XN020-G3,ROUTER
0/1/1,49,HWTC9865659F,cvbringas,EG8141A5,ROUTER
0/1/1,50,HWTCDAC788B1,ebbarroso,EG8021V5,BRIDGE
0/1/1,56,HWTC17072F9B,acligorria,IC405WSG,ROUTER
0/1/1,57,HWTIF56C219F,adgaray,EG8141A5,ROUTER
0/1/1,58,HWTCAF5B50B1,nralvarez2,EG8021V5,BRIDGE
0/1/1,59,ZTEGD6D13E56,psroveres,F670LV9.0,ROUTER
0/1/1,60,HWTCDADB23B1,hreale,EG8021V5,BRIDGE
0/1/1,61,TPLGB5E00198,neahumada2,TX-6610,BRIDGE
0/1/1,62,ZTEGD6D13D46,amorales,F670LV9.0,ROUTER
0/1/1,63,HWTCDACF4FB1,rmdiaz,EG8021V5,BRIDGE
0/1/1,64,TPLGA236FA88,roluques,XN020-G3v,ROUTER
0/1/1,65,TPLG84DB4F00,jrabate,XC220-G3,ROUTER
0/1/1,66,ZTEGD6D15FA8,jaacosta,F670LV9.0,ROUTER
0/1/1,67,HWTC8AE37DA6,lglastre,EG8141A5,ROUTER
0/1/1,68,TPLG8BDDDFDB,amichelena,TX-6610,BRIDGE
0/1/1,69,ZTEGD6D13EAC,igatica,F670LV9.0,ROUTER
0/1/1,70,HWTCAF712DB1,yealaniz,EG8021V5,BRIDGE
0/1/1,71,ZTEGD6D13F0E,pcortez,F670LV9.0,ROUTER
0/1/1,72,ZTEGD2EEA119,sbusinskas2,F6600PV9.0.05,ROUTER
0/1/1,73,HWTC4F6CA79B,csoviedo,EG8141A5,ROUTER
0/1/1,74,HWTCAF67B8B1,oaromero,EG8021V5,BRIDGE
0/1/1,75,HWTC06438CA6,chgaray,EG8141A5,ROUTER
0/1/2,2,HWTC82E07192,daguero1,IC410WSG,ROUTER
0/1/2,3,HWTC19BC299B,nvera,EG8141A5,ROUTER
0/1/2,4,HWTC82EA8C92,ecescudero,IC410WSG,ROUTER
0/1/2,5,HWTC82006492,cescudero1,IC410WSG,ROUTER
0/1/2,6,HWTC827A4892,fvillacazana,IC410WSG,ROUTER
0/1/2,7,HWTC26A9D71E,mptello,IC405WSG,ROUTER
0/1/2,8,HWTC18A5E89A,nvillcazana,EG8141A5,ROUTER
0/1/2,10,HWTC202B929D,fcuello1,EG8141A5,ROUTER
0/1/2,11,HWTC1A6ED69F,sescudero3,EG8141A5,ROUTER
0/1/2,12,HWTC3867299D,lbolivo,EG8141A5,ROUTER
0/1/2,14,HWTC82CDC792,aroveres,IC410WSG,ROUTER
0/1/2,15,HWTCB3252C9A,mgatica,EG8141A5,ROUTER
0/1/2,17,HWTC065EECA6,cfrojo,EG8141A5,ROUTER
0/1/2,18,HWTCA57E0B9B,sgodoy,EG8141A5,ROUTER
0/1/2,19,HWTC95764D9F,zllanos,EG8141A5,ROUTER
0/1/2,20,HWTCA384019C,agaray2,EG8141A5,ROUTER
0/1/2,21,HWTC82536492,mcano,IC410WSG,ROUTER
0/1/2,22,HWTC264AA51E,fygomez,IC405WSG,ROUTER
0/1/2,23,HWTC025B3792,rochoa,HG8546M,ROUTER
0/1/2,24,HWTC825E9392,tcvillalobo,IC410WSG,ROUTER
0/1/2,25,HWTCB329719A,jvillalobo,EG8141A5,ROUTER
0/1/2,26,HWTC8250C092,gtello2,IC410WSG,ROUTER
0/1/2,28,HWTC82C68F92,afroveres,IC410WSG,ROUTER
