PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/6,4,HWTC2151C5AB,djaguero,HG8245H5,ROUTER
0/1/9,40,HWTC042D5E9F,mgranero,EG8141A5,ROUTER
0/1/6,54,TPLGB5566450,mvieira,XN020-G3,ROUTER
0/1/14,25,TPLGB5566478,mjlucero,XN020-G3,ROUTER
0/1/6,45,HWTC04A0281E,cialtamirano2,IC455WDB,ROUTER
0/1/10,22,HWTC776D499D,cmmartinez,HS8545M5,ROUTER
0/1/14,9,HWTC61ACE39F,mrortiz,EG8141A5,ROUTER
0/1/6,52,TPLGB55664B0,aelopez,XN020-G3,ROUTER
0/1/15,15,HWTC058F2692,jbossi,HG8546M,ROUTER
0/1/12,17,HWTC87F30EB4,cgheredia,EG8021V5,BRIDGE
0/1/12,21,HWTC26CD141E,ceschneider,IC405WSG,ROUTER
0/1/10,28,HWTC3ADA079D,emcalderon,HS8545M5,ROUTER
0/1/14,34,TPLG4B2B0760,zriglesias,XN020-G3,ROUTER
0/1/13,10,HWTC047F721E,dgperez,IC455WDB,ROUTER
0/1/15,28,HWTC2671DC1E,nrbazan,IC405WSG,ROUTER
0/1/9,5,TPLG8BDDDC01,gromero6,TX-6610,BRIDGE
0/1/10,20,TPLGB5567910,mezalazar,XN020-G3,ROUTER
0/1/12,32,HWTC2694DD1E,seoyola,IC405WSG,ROUTER
0/1/14,12,ZTEGD6D161F8,fgvest,F670LV9.0,ROUTER
0/1/10,15,HWTC16ED3F9B,daaltamirano,IC405WSG,ROUTER
0/1/13,12,TPLG8BDDE815,aasalguero,TX-6610,BRIDGE
0/1/10,18,HWTC2696A51E,ajruscitti,IC405WSG,ROUTER
0/1/12,36,HWTCB34C009A,fnsalto,EG8141A5,ROUTER
0/1/10,4,HWTC26EC391E,nshermida,IC405WSG,ROUTER
0/1/12,39,HWTC824CBC92,jfpereyra,IC410WSG,ROUTER
0/1/12,14,HWTC26AE501E,rmaltamirano2,IC405WSG,ROUTER
0/1/6,13,HWTC82FF5992,dgaray,IC410WSG,ROUTER
0/1/10,11,HWTC2625DC1E,centrojubiladoslt,IC405WSG,ROUTER
0/1/12,22,HWTC2685B01E,mcuneo,IC405WSG,ROUTER
0/1/6,34,HWTC196A459B,maortiz,EG8141A5,ROUTER
0/1/15,16,HWTCEDBF96AA,encordoba,HG8245H5,ROUTER
0/1/6,17,ZTEGD6D13FAB,cbeltramone,F670LV9.0,ROUTER
0/1/10,13,ZTEGD6D15FAB,jaaguirre,F670LV9.0,ROUTER
0/1/9,26,HWTC2634CC1E,dallende4,IC405WSG,ROUTER
0/1/15,9,HWTC26F1AE1E,adurand,IC405WSG,ROUTER
