PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
gpon_olt-1/4/6,30,ZTEGD6D13EC8,rmgomez,F670LV9.0,BRIDGE
gpon_olt-1/4/2,11,ZTEGD6D13ECA,cbritos3,F670LV9.0,BRIDGE
gpon_olt-1/4/12,14,ZTEGD6D13ECC,balvarez,F670LV9.0,BRIDGE
gpon_olt-1/4/2,18,ZTEGD6D14303,jdceballos,F670LV9.0,BRIDGE
gpon_olt-1/4/2,1,ZTEGD6D142FF,ldvargas,F670LV9.0,BRIDGE
gpon_olt-1/4/7,16,ZTEGD6D13ED0,lcmontoya,F670LV9.0,BRIDGE
gpon_olt-1/4/7,4,ZTEGD6D13ED1,dpvoliva,F670LV9.0,BRIDGE
gpon_olt-1/4/4,11,ZTEGD6D13ECE,mtortosa,F670LV9.0,BRIDGE
gpon_olt-1/4/6,6,ZTEGD6D13ECD,bfortini,F670LV9.0,BRIDGE
gpon_olt-1/4/9,15,HWTCA47A12B1,nilopez2,EG8021V5,ROUTER
gpon_olt-1/4/8,22,ZTEGD6D14309,kdrodriguez,F670LV9.0,BRIDGE
gpon_olt-1/4/2,5,ZTEGD6D13EC4,avnicoletti2,F670LV9.0,BRIDGE
gpon_olt-1/4/4,43,ZTEGD6D13EC3,jngonzalez,F670LV9.0,BRIDGE
gpon_olt-1/4/4,25,ZTEGD6D14311,egsosa,F670LV9.0,BRIDGE
gpon_olt-1/4/7,31,ZTEGD6D1430E,afpereira,F670LV9.0,BRIDGE
gpon_olt-1/4/12,30,ZTEGD6D13EDA,afescudero2,F670LV9.0,BRIDGE
gpon_olt-1/4/8,28,ZTEGD2EEA022,adeblas,F6600PV9.0.05,BRIDGE
gpon_olt-1/4/2,30,ZTEGD6D13ED8,ldvortiz,F670LV9.0,BRIDGE
gpon_olt-1/4/8,15,ZTEGD6D13ED4,naarguello,F670LV9.0,BRIDGE
gpon_olt-1/4/12,22,ZTEGD6D13DA7,carivarola,F670LV9.0,BRIDGE
gpon_olt-1/4/1,9,ZTEGD6D13ED2,jjzalazar,F670LV9.0,BRIDGE
gpon_olt-1/4/5,31,ZTEGD6D13ED3,imora,F670LV9.0,BRIDGE
gpon_olt-1/4/8,26,ZTEGD6D13ED5,jjzalazar1,F670LV9.0,BRIDGE
gpon_olt-1/4/9,28,HWTCAF6DA8B1,mceballos1,EG8021V5,ROUTER
gpon_olt-1/4/6,4,ZTEGD6D13EDF,ygatica,F670LV9.0,BRIDGE
gpon_olt-1/4/3,3,ZTEGD6D13EDE,edreyna,F670LV9.0,BRIDGE
gpon_olt-1/4/9,19,ZTEGD6D13EDD,ajsosa2,F670LV9.0,BRIDGE
gpon_olt-1/4/4,21,ZTEGD6D142EF,pcordero1,F670LV9.0,BRIDGE
gpon_olt-1/4/1,7,ZTEGD6D13EE0,afledesma,F670LV9.0,BRIDGE
gpon_olt-1/4/1,6,HWTC96636AB1,ldangel,EG8021V5,ROUTER
gpon_olt-1/4/5,26,ZTEGD6D13EE5,pmachuca,F670LV9.0,BRIDGE
gpon_olt-1/4/9,26,ZTEGD6D13EE6,adlagarcia,F670LV9.0,BRIDGE
gpon_olt-1/4/1,5,ZTEGD6D13EE4,elvillaruel,F670LV9.0,BRIDGE
gpon_olt-1/4/3,22,ZTEGD6D142EB,alvargas,F670LV9.0,BRIDGE
gpon_olt-1/4/4,3,ZTEGD6D13EE3,fmolina2,F670LV9.0,BRIDGE
gpon_olt-1/4/7,32,ZTEGD6D153C9,vlujan,F670LV9.0,BRIDGE
gpon_olt-1/4/10,3,ZTEGD6D13E72,pjcalderon,F670LV9.0,BRIDGE
gpon_olt-1/4/3,12,ZTEGD6D13E73,ggdiaz,F670LV9.0,BRIDGE
gpon_olt-1/4/6,2,ZTEGD6D13E75,cmcalderon,F670LV9.0,BRIDGE
gpon_olt-1/4/12,31,ZTEGD6D153CC,fzallocchi1,F670LV9.0,BRIDGE
gpon_olt-1/4/6,12,ZTEGD6D13E76,abarreto,F670LV9.0,BRIDGE
gpon_olt-1/4/4,27,ZTEGD6D13E7C,anicolini2,F670LV9.0,BRIDGE
gpon_olt-1/4/9,32,ZTEGD6D153CD,ejagulles,F670LV9.0,BRIDGE
gpon_olt-1/4/5,23,ZTEGD6D143CD,dralarcon,F670LV9.0,BRIDGE
gpon_olt-1/4/2,32,ZTEGD6D13E78,harojas,F670LV9.0,BRIDGE
gpon_olt-1/4/9,9,ZTEGD6D13E70,jgsalas,F670LV9.0,BRIDGE
gpon_olt-1/4/5,15,ZTEGD6D13E6F,maguero4,F670LV9.0,BRIDGE
gpon_olt-1/4/12,19,ZTEGD6D153C2,cavillalobo,F670LV9.0,BRIDGE
gpon_olt-1/4/9,8,ZTEGD6D153BD,joagulles,F670LV9.0,BRIDGE
gpon_olt-1/4/3,26,ZTEGD6D153C0,lgcareli1,F670LV9.0,BRIDGE
gpon_olt-1/4/4,10,ZTEGD6D13E6C,esalinas,F670LV9.0,BRIDGE
gpon_olt-1/4/9,11,ZTEGD6D13E85,gmoliva,F670LV9.0,BRIDGE
gpon_olt-1/4/3,27,ZTEGD6D13E86,jgcastro,F670LV9.0,BRIDGE
gpon_olt-1/4/2,6,ZTEGD6D153D8,scalvar1,F670LV9.0,BRIDGE
gpon_olt-1/4/5,2,ZTEGD6D13E83,wvillafane,F670LV9.0,BRIDGE
gpon_olt-1/4/7,25,HWTC966529B1,cmferreyra,EG8021V5,ROUTER
gpon_olt-1/4/4,37,ZTEGD6D13E7D,mrrivarola,F670LV9.0,BRIDGE
gpon_olt-1/4/8,30,ZTEGD6D153D6,sjcalderon2,F670LV9.0,BRIDGE
gpon_olt-1/4/3,6,ZTEGD6D13E80,laltamirano,F670LV9.0,BRIDGE
gpon_olt-1/4/12,1,ZTEGD6D153D5,meruartes,F670LV9.0,BRIDGE
gpon_olt-1/4/12,33,ZTEGD6D153DD,gnpacheco,F670LV9.0,BRIDGE
gpon_olt-1/4/7,28,ZTEGD6D13E89,fvplacereano2,F670LV9.0,BRIDGE
gpon_olt-1/4/6,18,ZTEGD6D13E88,ndvcordero2,F670LV9.0,BRIDGE
gpon_olt-1/4/4,1,ZTEGD6D13E8C,mcjara2,F670LV9.0,BRIDGE
gpon_olt-1/4/5,20,ZTEGD6D13E8F,mbrito1,F670LV9.0,BRIDGE
gpon_olt-1/4/6,9,HWTC9173D0A6,rdsalinas,EG8141A5,ROUTER
gpon_olt-1/4/8,7,ZTEGD6D13E5B,dfsuarez,F670LV9.0,BRIDGE
gpon_olt-1/4/12,46,ZTEGD6D1E3EE,cdgonzalez,F670LV9.0,BRIDGE
gpon_olt-1/4/12,27,ZTEGD6D13E57,segomez,F670LV9.0,BRIDGE
gpon_olt-1/4/12,12,ZTEGD6D13E5D,amlopez,F670LV9.0,BRIDGE
gpon_olt-1/4/4,2,HWTCDADECFB1,egaldeco,EG8021V5,ROUTER
gpon_olt-1/4/10,2,ZTEGD6D13E14,cssanchez2,F670LV9.0,BRIDGE
gpon_olt-1/4/12,11,ZTEGD6D153BB,mlaguero,F670LV9.0,BRIDGE
gpon_olt-1/4/12,49,ZTEGD6D13E13,gmrojas,F670LV9.0,BRIDGE
gpon_olt-1/4/5,14,ZTEGD6D13E66,vlcarreras,F670LV9.0,BRIDGE
gpon_olt-1/4/9,23,ZTEGD6D153B9,macastro,F670LV9.0,BRIDGE
gpon_olt-1/4/2,22,ZTEGD6D13E62,vdcandrada,F670LV9.0,BRIDGE
gpon_olt-1/4/9,29,ZTEGD6D13E4A,vjgonzalez,F670LV9.0,BRIDGE
gpon_olt-1/4/12,8,ZTEGD6D1E3F5,jaromero1,F670LV9.0,BRIDGE
gpon_olt-1/4/12,47,ZTEGD6D13E2D,tr069,F670LV9.0,BRIDGE
gpon_olt-1/4/1,12,HWTC8A1015A6,matabaris,EG8141A5,ROUTER
gpon_olt-1/4/2,27,ZTEGD6D1437F,macuello,F670LV9.0,BRIDGE
gpon_olt-1/4/12,7,ZTEGD6D1E3F7,ncpacheco1,F670LV9.0,BRIDGE
gpon_olt-1/4/5,33,HWTCA3A584B1,fottone,EG8021V5,ROUTER
gpon_olt-1/4/5,11,ZTEGD6D14723,felopez,F670LV9.0,BRIDGE
gpon_olt-1/4/9,18,ZTEGD6D16001,yscastro,F670LV9.0,BRIDGE
gpon_olt-1/4/8,25,ZTEGD6D16009,avrivarola,F670LV9.0,BRIDGE
gpon_olt-1/4/8,6,ZTEGD6D1400A,jjmoyano,F670LV9.0,BRIDGE
gpon_olt-1/4/4,5,ZTEGD6D1600C,mecastro,F670LV9.0,BRIDGE
gpon_olt-1/4/9,12,HWTCAF79CCB1,mcromero1,EG8021V5,ROUTER
gpon_olt-1/4/2,17,ZTEGD6D1600E,bdromero,F670LV9.0,BRIDGE
gpon_olt-1/4/10,4,HWTC459785B2,mfortega,EG8021V5,ROUTER
gpon_olt-1/4/6,22,ZTEGD6D15FF7,adbritos,F670LV9.0,BRIDGE
gpon_olt-1/4/7,27,ZTEGD6D13FF7,acalderon3,F670LV9.0,BRIDGE
gpon_olt-1/4/4,28,HWTC87F24CB4,gmrojas1,EG8021V5,ROUTER
gpon_olt-1/4/9,4,HWTCA321C69C,ampalacios,EG8141A5,ROUTER
gpon_olt-1/4/12,48,ZTEGD6D13C8C,dgvallejo,F670LV9.0,BRIDGE
gpon_olt-1/4/3,9,ZTEGD6D15FEF,cgbalestrieri1,F670LV9.0,BRIDGE
gpon_olt-1/4/12,38,ZTEGD6D1601F,lquesada,F670LV9.0,BRIDGE
gpon_olt-1/4/4,31,HWTC6E939B9F,merbetta4,EG8141A5,ROUTER
gpon_olt-1/4/12,2,HWTCA3A6AAB1,ipemsa,EG8021V5,ROUTER
gpon_olt-1/4/7,6,ZTEGD6D14579,isuarez,F670LV9.0,BRIDGE
gpon_olt-1/4/6,13,ZTEGD6D1601B,blortega,F670LV9.0,BRIDGE
gpon_olt-1/4/6,16,HWTCDAD018B1,ttorres,EG8021V5,ROUTER
gpon_olt-1/4/7,34,HWTCAF6790B1,magarcia,EG8021V5,ROUTER
gpon_olt-1/4/12,10,ZTEGD6D14013,nacalderon,F670LV9.0,BRIDGE
gpon_olt-1/4/7,26,HWTCDAD980B1,sasoria,EG8021V5,ROUTER
gpon_olt-1/4/8,23,ZTEGD6D16017,iecalderon1,F670LV9.0,BRIDGE
gpon_olt-1/4/3,11,ZTEGD6D16028,mnrosales,F670LV9.0,BRIDGE
gpon_olt-1/4/9,7,HWTCAF61E3B1,meoyola,EG8021V5,ROUTER
gpon_olt-1/4/2,4,ZTEGD6D14590,nftoledo,F670LV9.0,BRIDGE
gpon_olt-1/4/3,1,HWTC9663F5B1,rgreynoso,EG8021V5,ROUTER
gpon_olt-1/4/9,10,ZTEGD6D1458E,lchavez,F670LV9.0,BRIDGE
gpon_olt-1/4/3,2,ZTEGD6D1458D,ejuarez,F670LV9.0,BRIDGE
gpon_olt-1/4/1,24,HWTC9665ADB1,mccentorbi,EG8021V5,ROUTER
gpon_olt-1/4/12,16,ZTEGD6D13CA9,jeguzman,F670LV9.0,BRIDGE
gpon_olt-1/4/3,25,ZTEGD6D13FD1,emlouzao,F670LV9.0,BRIDGE
gpon_olt-1/4/12,36,ZTEGD6D13CA8,jrrivarola,F670LV9.0,BRIDGE
gpon_olt-1/4/2,16,ZTEGD6D14523,laltamirano3,F670LV9.0,BRIDGE
gpon_olt-1/4/8,14,ZTEGD6D15FC6,brortiz1,F670LV9.0,BRIDGE
gpon_olt-1/4/12,15,ZTEGD6D13CB4,nfcortez,F670LV9.0,BRIDGE
gpon_olt-1/4/4,30,ZTEGD6D13FC7,aacaballero,F670LV9.0,BRIDGE
gpon_olt-1/4/4,23,ZTEGD6D14208,rolmedo2,F670LV9.0,BRIDGE
gpon_olt-1/4/5,10,HWTCA46F24B1,tcima,EG8021V5,ROUTER
gpon_olt-1/4/9,13,HWTC87ECC0B4,mldiaz,EG8021V5,ROUTER
gpon_olt-1/4/12,20,ZTEGD6D13CA5,jacalderon,F670LV9.0,BRIDGE
gpon_olt-1/4/8,3,ZTEGD6D13CA6,pyoviedo,F670LV9.0,BRIDGE
gpon_olt-1/4/9,33,ZTEGD6D13CA4,paaguero,F670LV9.0,BRIDGE
gpon_olt-1/4/6,27,ZTEGD6D15FD5,acavila,F670LV9.0,BRIDGE
gpon_olt-1/4/12,23,ZTEGD6D13CA3,eecortez,F670LV9.0,BRIDGE
gpon_olt-1/4/7,24,ZTEGD6D13FDF,grortega,F670LV9.0,BRIDGE
gpon_olt-1/4/1,10,ZTEGD6D13C94,jbcastro,F670LV9.0,BRIDGE
gpon_olt-1/4/7,19,ZTEGD6D13C93,mjrivadera,F670LV9.0,BRIDGE
gpon_olt-1/4/12,17,ZTEGD6D13C97,bmoreta,F670LV9.0,BRIDGE
gpon_olt-1/4/4,15,ZTEGD6D1421E,jpereyra4,F670LV9.0,BRIDGE
gpon_olt-1/4/5,17,ZTEGD6D1421D,rpineda,F670LV9.0,BRIDGE
gpon_olt-1/4/5,5,ZTEGD6D14225,psanchez,F670LV9.0,BRIDGE
gpon_olt-1/4/9,30,ZTEGD6D14226,ldiaz3,F670LV9.0,BRIDGE
gpon_olt-1/4/9,22,ZTEGD6D14224,loviedo7,F670LV9.0,BRIDGE
gpon_olt-1/4/4,38,HWTCA4696BB1,reolmedo,EG8021V5,ROUTER
gpon_olt-1/4/4,35,ZTEGD6D14222,epalacios2,F670LV9.0,BRIDGE
gpon_olt-1/4/12,18,ZTEGD6D13CC5,rromero3,F670LV9.0,BRIDGE
gpon_olt-1/4/6,33,ZTEGD6D1421A,vlpalacio,F670LV9.0,BRIDGE
gpon_olt-1/4/4,13,ZTEGD6D1421C,marrue,F670LV9.0,BRIDGE
gpon_olt-1/4/9,21,ZTEGD6D15FB6,ljpereyra,F670LV9.0,BRIDGE
gpon_olt-1/4/8,27,HWTCA470EDB1,realbornoz1,EG8021V5,ROUTER
gpon_olt-1/4/6,10,ZTEGD6D14212,msosa,F670LV9.0,BRIDGE
gpon_olt-1/4/12,39,ZTEGD6D13CDB,eaaguero1,F670LV9.0,BRIDGE
gpon_olt-1/4/8,18,ZTEGD6D14231,jmlcalderon,F670LV9.0,BRIDGE
gpon_olt-1/4/7,17,HWTCDCB9D2B1,vaponce,EG8021V5,ROUTER
gpon_olt-1/4/12,3,ZTEGD6D15FA6,ggboillos,F670LV9.0,BRIDGE
gpon_olt-1/4/12,21,ZTEGD6D13CD4,reaguero2,F670LV9.0,BRIDGE
gpon_olt-1/4/8,11,ZTEGD6D14229,nblujan,F670LV9.0,BRIDGE
gpon_olt-1/4/2,14,ZTEGD6D13FA7,nhmercado,F670LV9.0,BRIDGE
gpon_olt-1/4/6,1,ZTEGD6D14228,mgez,F670LV9.0,BRIDGE
gpon_olt-1/4/2,24,ZTEGD6D13FA2,maalaniz,F670LV9.0,BRIDGE
gpon_olt-1/4/12,40,ZTEGD6D13CDF,ceperalta,F670LV9.0,BRIDGE
gpon_olt-1/4/1,16,ZTEGD6D14232,csanchez2,F670LV9.0,BRIDGE
gpon_olt-1/4/7,11,ZTEGD6D14235,edambolena,F670LV9.0,BRIDGE
gpon_olt-1/4/1,11,ZTEGD6D14237,jvledesma,F670LV9.0,BRIDGE
gpon_olt-1/4/2,31,ZTEGD6D14236,csalvatierra,F670LV9.0,BRIDGE
gpon_olt-1/4/2,33,ZTEGD6D1423C,cnievas1,F670LV9.0,BRIDGE
gpon_olt-1/4/1,19,ZTEGD6D14238,rocuello,F670LV9.0,BRIDGE
gpon_olt-1/4/9,34,ZTEGD6D145CD,wdfernandez,F670LV9.0,BRIDGE
gpon_olt-1/4/6,29,HWTCDACC37B1,lrquevedo,EG8021V5,ROUTER
gpon_olt-1/4/2,28,HWTCA2C8B79F,pcastro,EG8141A5,ROUTER
gpon_olt-1/4/7,15,HWTC87ED20B4,sindicatooeste,EG8021V5,ROUTER
gpon_olt-1/4/7,29,HWTC87EF01B4,njsuarez,EG8021V5,ROUTER
gpon_olt-1/4/8,8,ZTEGD6D14091,vcalderon3,F670LV9.0,BRIDGE
gpon_olt-1/4/9,6,ZTEGD6D1405D,cpalacios,F670LV9.0,BRIDGE
gpon_olt-1/4/12,5,ZTEGD6D1505E,emaldonado1,F670LV9.0,BRIDGE
